LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value,objective,plateau_score
48.0,23.0,-83800.0,2984800.0,-3068600.0,47.0,23.4043,11.0,36.0,-1782.98,271345.0,-85238.9,3.18335,2.0,8.0,31.0,11.9444,-1536800.0,0.972691,-9.97382,0.0,0.0,0.0
48.0,24.0,-105000.0,2967800.0,-3072800.0,47.0,23.4043,11.0,36.0,-2234.04,269800.0,-85355.6,3.1609,2.0,8.0,31.0,11.6667,-1547000.0,0.965829,-12.4349,0.0,0.0,0.0
48.0,25.0,-210000.0,2969400.0,-3179400.0,49.0,22.449,11.0,38.0,-4285.71,269945.0,-83668.4,3.22637,2.0,9.0,29.7273,10.8421,-1428000.0,0.93395,-23.8582,0.0,0.0,0.0
48.0,26.0,-240400.0,2952800.0,-3193200.0,49.0,22.449,11.0,38.0,-4906.12,268436.0,-84031.6,3.19447,2.0,9.0,29.9091,10.5789,-1428000.0,0.924715,-27.5751,0.0,0.0,0.0
48.0,27.0,-241600.0,2952800.0,-3194400.0,49.0,22.449,11.0,38.0,-4930.61,268436.0,-84063.2,3.19327,2.0,9.0,29.9091,10.3947,-1428000.0,0.924368,-27.6747,0.0,0.0,0.0
48.0,28.0,-198800.0,2906400.0,-3105200.0,47.0,23.4043,11.0,36.0,-4229.79,264218.0,-86255.6,3.0632,2.0,8.0,30.0,10.5556,-1428000.0,0.935978,-25.9937,0.0,0.0,0.0
48.0,29.0,-258200.0,2866800.0,-3125000.0,47.0,21.2766,10.0,37.0,-5493.62,286680.0,-84459.5,3.39429,2.0,8.0,29.2,11.0811,-1428000.0,0.917376,-33.2904,0.0,0.0,0.0
48.0,30.0,-265800.0,2866800.0,-3132600.0,47.0,21.2766,10.0,37.0,-5655.32,286680.0,-84664.9,3.38606,2.0,8.0,29.2,11.0541,-1428000.0,0.91515,-33.9377,0.0,0.0,0.0
48.0,31.0,-303200.0,2861200.0,-3164400.0,47.0,21.2766,10.0,37.0,-6451.06,286120.0,-85524.3,3.34548,2.0,8.0,29.2,10.8108,-1433600.0,0.904184,-37.5433,0.0,0.0,0.0
48.0,32.0,-400000.0,2857600.0,-3257600.0,47.0,21.2766,10.0,37.0,-8510.64,285760.0,-88043.2,3.24568,2.0,8.0,29.2,10.1622,-1396400.0,0.87721,-44.405,0.0,0.0,0.0
48.0,33.0,-615000.0,2781000.0,-3396000.0,48.0,20.8333,10.0,38.0,-12812.5,278100.0,-89368.4,3.11184,2.0,8.0,28.6,9.92105,-1480400.0,0.818905,-60.3178,0.0,0.0,0.0
48.0,34.0,-619800.0,2781000.0,-3400800.0,48.0,20.8333,10.0,38.0,-12912.5,278100.0,-89494.7,3.10745,2.0,8.0,28.6,9.81579,-1480400.0,0.817749,-60.5865,0.0,0.0,0.0
48.0,35.0,-608400.0,2781000.0,-3389400.0,48.0,20.8333,10.0,38.0,-12675.0,278100.0,-89194.7,3.1179,2.0,8.0,28.6,9.71053,-1480400.0,0.820499,-60.1423,0.0,0.0,0.0
48.0,36.0,-481000.0,2781000.0,-3262000.0,47.0,21.2766,10.0,37.0,-10234.0,278100.0,-88162.2,3.15441,2.0,8.0,28.6,9.83784,-1478800.0,0.852544,-51.899,0.0,0.0,0.0
48.0,37.0,-687800.0,2781000.0,-3468800.0,48.0,20.8333,10.0,38.0,-14329.2,278100.0,-91284.2,3.04653,2.0,9.0,28.6,9.26316,-1534000.0,0.801718,-60.674,0.0,0.0,0.0
48.0,38.0,-499200.0,2781000.0,-3280200.0,46.0,21.7391,10.0,36.0,-10852.2,278100.0,-91116.7,3.05213,2.0,8.0,28.6,9.52778,-1415200.0,0.847814,-49.192,0.0,0.0,0.0
48.0,39.0,-503400.0,2781000.0,-3284400.0,46.0,21.7391,10.0,36.0,-10943.5,278100.0,-91233.3,3.04823,2.0,8.0,28.6,9.47222,-1415200.0,0.84673,-49.6058,0.0,0.0,0.0
48.0,40.0,-508400.0,2781000.0,-3289400.0,46.0,21.7391,10.0,36.0,-11052.2,278100.0,-91372.2,3.04359,2.0,8.0,28.6,9.44444,-1415200.0,0.845443,-50.0985,0.0,0.0,0.0
48.0,41.0,271200.0,3123600.0,-2852400.0,43.0,25.5814,11.0,32.0,6306.98,283964.0,-89137.5,3.18568,2.0,8.0,31.0909,8.96875,-1369800.0,1.09508,31.3671,0.0,53693.561103810775,0.0
48.0,42.0,271200.0,3123600.0,-2852400.0,43.0,25.5814,11.0,32.0,6306.98,283964.0,-89137.5,3.18568,2.0,8.0,31.0909,8.96875,-1369800.0,1.09508,31.3671,0.0,53693.561103810775,0.0
48.0,43.0,327000.0,3123600.0,-2796600.0,42.0,26.1905,11.0,31.0,7785.71,283964.0,-90212.9,3.14771,2.0,8.0,31.0909,9.16129,-1341800.0,1.11693,37.821,0.0,79690.71396631391,52397.46503496503
48.0,44.0,327000.0,3123600.0,-2796600.0,42.0,26.1905,11.0,31.0,7785.71,283964.0,-90212.9,3.14771,2.0,8.0,31.0909,9.16129,-1341800.0,1.11693,37.821,0.0,79690.71396631391,52397.46503496503
48.0,45.0,328400.0,3123600.0,-2795200.0,42.0,26.1905,11.0,31.0,7819.05,283964.0,-90167.7,3.14928,2.0,8.0,31.0909,9.12903,-1341800.0,1.11749,37.9829,0.0,80374.5416604561,72571.20761451517
48.0,46.0,315400.0,3123600.0,-2808200.0,42.0,26.1905,11.0,31.0,7509.52,283964.0,-90587.1,3.1347,2.0,8.0,31.0909,9.09677,-1341800.0,1.11231,36.4793,0.0,74137.09941869132,72571.20761451517
48.0,47.0,369600.0,3123600.0,-2754000.0,41.0,26.8293,11.0,30.0,9014.63,283964.0,-91800.0,3.09329,2.0,8.0,31.0909,9.23333,-1347200.0,1.1342,41.0575,0.0,101398.57482185273,72571.20761451517
48.0,48.0,355600.0,3123600.0,-2768000.0,41.0,26.8293,11.0,30.0,8673.17,283964.0,-92266.7,3.07764,2.0,8.0,31.0909,9.2,-1336800.0,1.12847,38.8974,0.0,94592.57929383602,72571.20761451517
48.0,49.0,432000.0,3123600.0,-2691600.0,40.0,27.5,11.0,29.0,10800.0,283964.0,-92813.8,3.0595,2.0,8.0,31.0909,9.37931,-1238200.0,1.1605,51.5636,0.0,150722.01582942982,92795.01418122108
48.0,50.0,432000.0,3123600.0,-2691600.0,40.0,27.5,11.0,29.0,10800.0,283964.0,-92813.8,3.0595,2.0,8.0,31.0909,9.37931,-1238200.0,1.1605,51.5636,0.0,150722.01582942982,92795.01418122108
49.0,1.0,-2752800.0,3694800.0,-6447600.0,150.0,23.3333,35.0,114.0,-18352.0,105566.0,-56557.9,1.86651,2.0,16.0,11.0571,6.92982,-3490800.0,0.57305,-84.2918,0.0,0.0,0.0
49.0,2.0,-1907400.0,3920400.0,-5827800.0,120.0,23.3333,28.0,92.0,-15895.0,140014.0,-63345.7,2.21032,2.0,20.0,13.5,8.01087,-2648400.0,0.672707,-79.0141,0.0,0.0,0.0
