LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value
105,105,536600,1.00398e+07,-9.5032e+06,748,26.2032,196,552,717.38,51223.5,-17215.9,2.97535,4,12,25.3878,11.4149,-728800,1.05647,86.4926,0
105,110,426800,9.894e+06,-9.4672e+06,744,26.0753,194,550,573.656,51000,-17213.1,2.96286,4,14,25.3814,11.2891,-715200,1.04508,64.7059,0
105,115,420400,9.7134e+06,-9.293e+06,732,26.0929,191,541,574.317,50855.5,-17177.4,2.9606,5,14,25.2461,11.3752,-699000,1.04524,67.545,0
105,120,323600,9.565e+06,-9.2414e+06,726,26.0331,189,537,445.73,50608.5,-17209.3,2.94076,5,14,25.2963,11.257,-702800,1.03502,51.9923,0
105,125,356200,9.5278e+06,-9.1716e+06,723,26.0028,188,535,492.669,50679.8,-17143.2,2.95627,5,14,25.0904,11.243,-692200,1.03884,57.2301,0
105,130,357200,9.4446e+06,-9.0874e+06,715,26.1538,187,528,499.58,50505.9,-17211,2.93451,5,14,25.0481,11.2576,-699200,1.03931,57.3907,0
105,135,298200,9.3036e+06,-9.0054e+06,705,26.2411,185,520,422.979,50289.7,-17318.1,2.90389,5,14,25.2919,11.2865,-694800,1.03311,47.5446,0
105,140,390600,9.3056e+06,-8.915e+06,700,26.4286,185,515,558,50300.5,-17310.7,2.90575,5,14,25.2703,11.2718,-695000,1.04381,61.0885,0
105,145,329400,9.1866e+06,-8.8572e+06,698,26.2178,183,515,471.92,50200,-17198.4,2.91887,5,15,25.1257,11.2874,-693800,1.03719,51.6139,0
105,150,192000,8.9824e+06,-8.7904e+06,694,26.0807,181,513,276.657,49626.5,-17135.3,2.89616,5,14,25.1215,11.2885,-780600,1.02184,30.4279,0
105,155,316400,8.9824e+06,-8.666e+06,688,26.3081,181,507,459.884,49626.5,-17092.7,2.90337,5,14,25.1215,11.215,-781800,1.03651,50.5431,0
105,160,394200,8.9824e+06,-8.5882e+06,683,26.5007,181,502,577.16,49626.5,-17108,2.90078,5,14,25.1215,11.2749,-781800,1.0459,62.9712,0
105,165,543000,8.9918e+06,-8.4488e+06,675,26.8148,181,494,804.444,49678.5,-17102.8,2.90469,5,14,25.1768,11.3279,-746200,1.06427,88.4077,0
105,170,594000,8.9894e+06,-8.3954e+06,671,26.9747,181,490,885.246,49665.2,-17133.5,2.89872,5,14,25.2376,11.3694,-748200,1.07075,96.4912,0
105,175,604800,8.9962e+06,-8.3914e+06,667,27.1364,181,486,906.747,49702.8,-17266.3,2.87861,5,14,25.453,11.1296,-772600,1.07207,93.4198,0
105,180,737600,9.0258e+06,-8.2882e+06,662,27.1903,180,482,1114.2,50143.3,-17195.4,2.91608,5,14,25.65,11.1577,-772600,1.08899,113.933,0
105,185,677200,8.9426e+06,-8.2654e+06,659,27.1624,179,480,1027.62,49958.7,-17219.6,2.90127,5,14,25.7039,11.2479,-772600,1.08193,104.603,0
105,190,646200,8.935e+06,-8.2888e+06,658,27.2036,179,479,982.067,49916.2,-17304.4,2.8846,5,14,25.6313,11.1691,-772600,1.07796,99.8146,0
105,195,737000,8.9686e+06,-8.2316e+06,655,27.4809,180,475,1125.19,49825.6,-17329.7,2.87516,5,14,25.5778,11.1747,-772600,1.08953,113.84,0
105,200,581400,8.8044e+06,-8.223e+06,653,27.2588,178,475,890.352,49462.9,-17311.6,2.85722,5,14,25.2528,11.2968,-772600,1.0707,89.8054,0
110,105,443000,9.931e+06,-9.488e+06,741,25.9109,192,549,597.841,51724,-17282.3,2.99288,4,13,25.4427,11.4135,-783600,1.04669,65.5519,0
110,110,333200,9.7852e+06,-9.452e+06,737,25.7802,190,547,452.103,51501.1,-17279.7,2.98044,4,14,25.4368,11.287,-753800,1.03525,50.5155,0
110,115,326800,9.6046e+06,-9.2778e+06,725,25.7931,187,538,450.759,51361.5,-17245,2.97834,5,15,25.2995,11.3736,-753800,1.03522,50.4321,0
110,120,230000,9.4562e+06,-9.2262e+06,719,25.7302,185,534,319.889,51114.6,-17277.5,2.95844,5,14,25.3514,11.2547,-757600,1.02493,35.2869,0
110,125,262600,9.419e+06,-9.1564e+06,716,25.6983,184,532,366.76,51190.2,-17211.3,2.97423,5,14,25.1413,11.2406,-747000,1.02868,40.9545,0
110,130,263600,9.3358e+06,-9.0722e+06,708,25.8475,183,525,372.316,51015.3,-17280.4,2.95221,5,14,25.0984,11.2552,-754000,1.02906,40.6665,0
110,135,204600,9.1948e+06,-8.9902e+06,698,25.9312,181,517,293.123,50800,-17389.2,2.92136,5,14,25.3481,11.2843,-707800,1.02276,32.6212,0
110,140,297000,9.1968e+06,-8.8998e+06,693,26.1183,181,512,428.571,50811,-17382.4,2.92313,5,14,25.326,11.2695,-685600,1.03337,46.4498,0
110,145,235800,9.0778e+06,-8.842e+06,691,25.9045,179,512,341.245,50714,-17269.5,2.93662,5,16,25.1788,11.2852,-684400,1.02667,36.9477,0
110,150,98400,8.8736e+06,-8.7752e+06,687,25.7642,177,510,143.231,50133.3,-17206.3,2.91367,5,15,25.1751,11.2863,-835400,1.01121,14.4663,0
110,155,222800,8.8736e+06,-8.6508e+06,681,25.9912,177,504,327.166,50133.3,-17164.3,2.92079,5,15,25.1751,11.2123,-836600,1.02575,32.6974,0
110,160,300600,8.8736e+06,-8.573e+06,676,26.1834,177,499,444.675,50133.3,-17180.4,2.91806,5,15,25.1751,11.2725,-836600,1.03506,44.1151,0
110,165,449400,8.883e+06,-8.4336e+06,668,26.497,177,491,672.754,50186.4,-17176.4,2.92183,5,15,25.2316,11.3259,-801000,1.05329,67.1147,0
