LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value
5,5,2.132e+06,3.56874e+07,-3.35554e+07,4300,33.1628,1426,2857,495.814,25026.2,-11745,2.1308,7,17,12.7567,5.26881,-1.859e+06,1.06354,124.751,0
5,10,3.0614e+06,3.23238e+07,-2.92624e+07,3282,32.6325,1071,2201,932.785,30181,-13295,2.27009,9,14,15.8917,6.34893,-1.2276e+06,1.10462,257.867,0
5,15,2.9394e+06,3.02144e+07,-2.7275e+07,2842,31.879,906,1927,1034.27,33349.2,-14154.1,2.35615,7,14,17.415,7.11105,-1.1576e+06,1.10777,257.978,0
5,20,2.9338e+06,2.86432e+07,-2.57094e+07,2562,31.3037,802,1757,1145.12,35714.7,-14632.6,2.44077,6,17,18.1072,7.92487,-1.1392e+06,1.11411,275.009,0
5,25,2.1566e+06,2.75646e+07,-2.5408e+07,2418,30.3557,734,1679,891.894,37554,-15132.8,2.48162,5,15,18.8937,8.30018,-1.2188e+06,1.08488,190.042,0
5,30,1.8506e+06,2.6969e+07,-2.51184e+07,2330,29.9142,697,1629,794.249,38693,-15419.5,2.50935,5,14,19.3214,8.56354,-1.4142e+06,1.07368,138.934,0
5,35,2.3334e+06,2.68092e+07,-2.44758e+07,2252,30.0178,676,1572,1036.15,39658.6,-15569.8,2.54714,5,13,19.6524,8.71183,-1.4632e+06,1.09533,168.965,0
5,40,2.3682e+06,2.62892e+07,-2.3921e+07,2175,29.977,652,1517,1088.83,40320.9,-15768.6,2.55703,5,13,19.842,8.99143,-1.3656e+06,1.099,184.525,0
5,45,2.1766e+06,2.56514e+07,-2.34748e+07,2124,29.661,630,1488,1024.76,40716.5,-15776.1,2.5809,5,12,20.4429,9.01008,-1.2628e+06,1.09272,184.677,0
5,50,2.0116e+06,2.54748e+07,-2.34632e+07,2099,29.4426,618,1476,958.361,41221.4,-15896.5,2.59311,5,12,20.5825,9.07317,-1.3758e+06,1.08573,156.642,0
5,55,2.3838e+06,2.52678e+07,-2.2884e+07,2055,29.7324,611,1440,1160,41354.8,-15891.7,2.6023,5,12,20.8036,9.15556,-1.2342e+06,1.10417,207.431,0
5,60,2.828e+06,2.5084e+07,-2.2256e+07,2009,29.9154,601,1405,1407.67,41737.1,-15840.6,2.63482,5,11,21.0516,9.22206,-1.1872e+06,1.12707,254.775,0
5,65,2.8564e+06,2.49566e+07,-2.21002e+07,1992,29.9197,596,1393,1433.94,41873.5,-15865.2,2.63933,5,11,21.094,9.23977,-1.1918e+06,1.12925,257.658,0
5,70,2.763e+06,2.48694e+07,-2.21064e+07,1981,29.8334,591,1387,1394.75,42080.2,-15938.3,2.6402,5,11,21.1709,9.2372,-1.22e+06,1.12499,243.866,0
5,75,3.0468e+06,2.4667e+07,-2.16202e+07,1949,29.8102,581,1365,1563.26,42456.1,-15839,2.68048,5,11,21.3769,9.3619,-1.1568e+06,1.14092,284.801,0
5,80,2.9788e+06,2.44506e+07,-2.14718e+07,1937,29.6335,574,1360,1537.84,42596.9,-15788.1,2.69804,5,11,21.4477,9.35956,-1.178e+06,1.13873,273.034,0
5,85,2.9326e+06,2.43842e+07,-2.14516e+07,1926,29.5431,569,1354,1522.64,42854.5,-15843.1,2.70492,5,11,21.6696,9.3257,-1.1422e+06,1.13671,259.89,0
5,90,2.98e+06,2.43072e+07,-2.13272e+07,1913,29.4825,564,1347,1557.76,43097.9,-15833.1,2.72201,5,11,21.7713,9.35115,-1.1056e+06,1.13973,272.944,0
5,95,3.0622e+06,2.42432e+07,-2.1181e+07,1894,29.6199,561,1331,1616.79,43214.3,-15913.6,2.71556,5,11,21.8182,9.39144,-1.0942e+06,1.14457,283.432,0
5,100,2.9714e+06,2.41444e+07,-2.1173e+07,1882,29.4368,554,1326,1578.85,43581.9,-15967.6,2.7294,5,11,21.9134,9.40649,-1.1122e+06,1.14034,270.521,0
10,5,2.495e+06,3.13752e+07,-2.88802e+07,3356,33.1645,1113,2232,743.445,28189.8,-12939.2,2.17864,7,16,15.3783,6.431,-1.5054e+06,1.08639,192.337,0
10,10,3.4074e+06,2.86762e+07,-2.52688e+07,2672,32.1856,860,1802,1275.22,33344.4,-14022.6,2.3779,9,20,18.5012,7.21088,-893000,1.13485,409.642,0
10,15,3.1072e+06,2.6642e+07,-2.35348e+07,2344,31.2287,732,1607,1325.6,36396.2,-14645.2,2.4852,5,17,20.2145,7.80087,-725000,1.13203,468.093,0
10,20,2.9974e+06,2.51534e+07,-2.2156e+07,2111,30.0805,635,1475,1419.9,39611.7,-15021,2.63708,5,14,20.8047,8.65356,-678000,1.13529,479.891,0
10,25,2.156e+06,2.41524e+07,-2.19964e+07,2004,29.7405,596,1407,1075.85,40524.2,-15633.5,2.59213,5,14,21.4111,8.86851,-794400,1.09802,306.686,0
10,30,1.835e+06,2.36292e+07,-2.17942e+07,1941,29.3148,569,1372,945.389,41527.6,-15885,2.61427,5,17,21.2953,9.18076,-941000,1.0842,203.663,0
10,35,2.097e+06,2.32352e+07,-2.11382e+07,1877,28.7693,540,1337,1117.21,43028.1,-15810.2,2.72155,5,15,21.2741,9.47719,-852600,1.0992,258.061,0
10,40,2.195e+06,2.27976e+07,-2.06026e+07,1810,28.7293,520,1288,1212.71,43841.5,-15995.8,2.74081,5,15,21.375,9.73137,-803200,1.10654,312.322,0
10,45,2.0046e+06,2.22646e+07,-2.026e+07,1771,28.6844,508,1262,1131.9,43828,-16053.9,2.73005,5,14,21.6772,9.74247,-707600,1.09894,333.322,0
10,50,1.729e+06,2.20584e+07,-2.03294e+07,1753,28.6937,503,1249,986.309,43853.7,-16276.5,2.69429,5,14,21.8946,9.64371,-716400,1.08505,276.995,0
10,55,1.957e+06,2.17986e+07,-1.98416e+07,1718,28.929,497,1219,1139.12,43860.4,-16276.9,2.69463,5,14,21.9437,9.68581,-695600,1.09863,289.668,0
10,60,2.5748e+06,2.17026e+07,-1.91278e+07,1673,29.2887,490,1182,1539.03,44291,-16182.6,2.73696,5,14,22.0694,9.78088,-659400,1.13461,430.137,0
10,65,2.6814e+06,2.16124e+07,-1.8931e+07,1658,29.2521,485,1172,1617.25,44561.6,-16152.7,2.75877,5,14,22.2103,9.71672,-659400,1.14164,448.695,0
10,70,2.6264e+06,2.1473e+07,-1.88466e+07,1648,29.3083,483,1164,1593.69,44457.6,-16191.2,2.74578,5,14,22.1946,9.69759,-661600,1.13936,426.502,0
10,75,2.7894e+06,2.11416e+07,-1.83522e+07,1619,29.4009,476,1142,1722.92,44415.1,-16070.2,2.76381,5,13,22.2941,9.86865,-610800,1.15199,496.688,0
10,80,2.6912e+06,2.0935e+07,-1.82438e+07,1609,29.335,472,1136,1672.59,44353.8,-16059.7,2.76181,5,13,22.3305,9.80634,-645600,1.14751,440.314,0
10,85,2.6008e+06,2.08278e+07,-1.8227e+07,1601,29.4191,471,1129,1624.48,44220.4,-16144.4,2.73906,5,13,22.327,9.80691,-668000,1.14269,418.001,0
10,90,2.6768e+06,2.0755e+07,-1.80782e+07,1590,29.5597,470,1119,1683.52,44159.6,-16155.7,2.73338,5,13,22.2809,9.84093,-646200,1.14807,439.108,0
10,95,2.7586e+06,2.06982e+07,-1.79396e+07,1573,29.6885,467,1105,1753.72,44321.6,-16234.9,2.73002,5,13,22.2998,9.87602,-649400,1.15377,450.31,0
10,100,2.685e+06,2.06438e+07,-1.79588e+07,1563,29.4306,460,1102,1717.85,44877.8,-16296.6,2.75382,5,13,22.3652,9.85844,-638200,1.14951,446.458,0
