LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value
5,105,2.8854e+06,2.40664e+07,-2.1181e+07,1877,29.3554,551,1324,1537.24,43677.7,-15997.7,2.73024,5,13,21.9637,9.41088,-1.1342e+06,1.13623,257.533,0
5,110,2.9056e+06,2.3973e+07,-2.10674e+07,1869,29.267,547,1320,1554.63,43826.3,-15960.2,2.74598,5,13,22.0366,9.40606,-1.1134e+06,1.13792,264.242,0
5,115,3.0068e+06,2.39032e+07,-2.08964e+07,1856,29.3103,544,1310,1620.04,43939.7,-15951.5,2.75459,5,13,22.1103,9.44198,-1.1436e+06,1.14389,266.136,0
5,120,3.012e+06,2.3815e+07,-2.0803e+07,1845,29.4309,543,1301,1632.52,43858.2,-15990,2.74285,5,12,22.1308,9.46118,-1.129e+06,1.14479,270.086,0
5,125,3.041e+06,2.37894e+07,-2.07484e+07,1839,29.3094,539,1298,1653.62,44136.2,-15984.9,2.76112,5,12,22.2152,9.46841,-1.1112e+06,1.14657,277.11,0
5,130,3.048e+06,2.37564e+07,-2.07084e+07,1830,29.3989,538,1291,1665.57,44156.9,-16040.6,2.75282,5,12,22.223,9.48335,-1.0914e+06,1.14719,282.851,0
5,135,2.8944e+06,2.3576e+07,-2.06816e+07,1821,29.2696,533,1287,1589.46,44232.6,-16069.6,2.75256,5,17,22.3415,9.50039,-1.0902e+06,1.13995,268.896,0
5,140,2.8988e+06,2.35486e+07,-2.06498e+07,1816,29.2401,531,1284,1596.26,44347.6,-16082.4,2.75753,5,17,22.3766,9.50779,-1.099e+06,1.14038,267.121,0
5,145,2.8998e+06,2.35162e+07,-2.06164e+07,1811,29.2656,530,1280,1601.21,44370.2,-16106.6,2.75479,5,17,22.3698,9.49922,-1.1018e+06,1.14066,266.526,0
5,150,2.9934e+06,2.34744e+07,-2.0481e+07,1802,29.3008,528,1273,1661.15,44459.1,-16088.8,2.76336,5,16,22.4167,9.53024,-1.107e+06,1.14615,273.82,0
5,155,3.0336e+06,2.34362e+07,-2.04026e+07,1795,29.3036,526,1268,1690.03,44555.5,-16090.4,2.76908,5,16,22.4468,9.54416,-1.0778e+06,1.14869,285.757,0
5,160,3.0926e+06,2.34256e+07,-2.0333e+07,1790,29.3296,525,1264,1727.71,44620.2,-16086.2,2.77381,5,16,22.461,9.56566,-1.0598e+06,1.1521,296.34,0
5,165,3.212e+06,2.34288e+07,-2.02168e+07,1782,29.4052,524,1257,1802.47,44711.5,-16083.4,2.77998,5,16,22.4866,9.59666,-1.0304e+06,1.15888,316.703,0
5,170,3.198e+06,2.33856e+07,-2.01876e+07,1778,29.3588,522,1255,1798.65,44800,-16085.7,2.78508,5,16,22.5383,9.61036,-1.0424e+06,1.15841,310.908,0
