LE,SE,Net Profit,Gross Profit,Gross Loss,Total Trades,Pct Profitable,Winning Trades,Losing Trades,Avg Trade,Avg Winning Trade,Avg Losing Trade,Win/Loss Ratio,Max Consecutive Winners,Max Consecutive Losers,Avg Bars in Winner,Avg Bars in Loser,Max Intraday Drawdown,Profit Factor,Return on Account,Custom Fitness Value
5,5,2.132e+06,3.56874e+07,-3.35554e+07,4300,33.1628,1426,2857,495.814,25026.2,-11745,2.1308,7,17,12.7567,5.26881,-1.859e+06,1.06354,124.751,0
5,7,2.5902e+06,3.39592e+07,-3.1369e+07,3756,33.3067,1251,2496,689.617,27145.6,-12567.7,2.15995,6,16,14.1343,5.80168,-1.5896e+06,1.08257,171.946,0
5,9,2.92e+06,3.2828e+07,-2.9908e+07,3394,33.2351,1128,2257,860.342,29102.8,-13251.2,2.19624,9,14,15.4628,6.12672,-1.2398e+06,1.09763,243.455,0
5,11,3.379e+06,3.1935e+07,-2.8556e+07,3151,32.5294,1025,2117,1072.36,31156.1,-13488.9,2.30976,9,14,16.2693,6.58668,-1.2286e+06,1.11833,284.38,0
5,13,3.1028e+06,3.09728e+07,-2.787e+07,2975,32.5042,967,2000,1042.96,32029.8,-13935,2.29851,9,14,16.9555,6.822,-1.044e+06,1.11133,313.477,0
5,15,2.9394e+06,3.02144e+07,-2.7275e+07,2842,31.879,906,1927,1034.27,33349.2,-14154.1,2.35615,7,14,17.415,7.11105,-1.1576e+06,1.10777,257.978,0
5,17,2.8706e+06,2.96664e+07,-2.67958e+07,2733,31.4307,859,1870,1050.35,34536,-14329.3,2.41016,6,17,17.6903,7.4107,-1.28e+06,1.10713,240.017,0
5,19,2.7634e+06,2.88416e+07,-2.60782e+07,2611,31.1758,814,1792,1058.37,35431.9,-14552.6,2.43476,7,17,18.0061,7.77065,-1.0332e+06,1.10597,290.578,0
5,21,2.6906e+06,2.83116e+07,-2.5621e+07,2526,31.1164,786,1737,1065.16,36019.8,-14750.1,2.442,5,16,18.1132,8.08981,-1.1888e+06,1.10502,243.537,0
5,22,3.0114e+06,2.81818e+07,-2.51704e+07,2484,31.1192,773,1706,1212.32,36457.7,-14754,2.47103,5,16,18.4735,8.11782,-1.1834e+06,1.11964,273.913,0
7,5,2.5042e+06,3.37348e+07,-3.12306e+07,3817,33.1936,1267,2540,656.065,26625.7,-12295.5,2.16548,7,16,14.0047,5.73465,-1.4068e+06,1.08018,201.756,0
7,7,2.8568e+06,3.2308e+07,-2.94512e+07,3393,33.3039,1130,2260,841.969,28591.2,-13031.5,2.194,8,15,15.3354,6.13142,-1.1614e+06,1.097,270.274,0
7,9,3.4786e+06,3.15066e+07,-2.8028e+07,3085,32.8039,1012,2064,1127.59,31133,-13579.5,2.29265,8,13,16.5958,6.46899,-820000,1.12411,459.646,0
7,11,3.9998e+06,3.07888e+07,-2.6789e+07,2885,32.4783,937,1941,1386.41,32858.9,-13801.6,2.3808,8,13,17.4248,6.80577,-795400,1.14931,546.272,0
7,13,3.6678e+06,2.98256e+07,-2.61578e+07,2734,32.297,883,1842,1341.55,33777.6,-14200.8,2.37858,8,13,18.0566,7.05809,-732000,1.14022,545.641,0
7,15,3.3462e+06,2.89954e+07,-2.56492e+07,2622,31.5408,827,1788,1276.2,35060.9,-14345.2,2.44409,5,13,18.4982,7.32718,-789600,1.13046,462.055,0
7,17,3.2092e+06,2.84124e+07,-2.52032e+07,2517,30.9098,778,1734,1275.01,36519.8,-14534.7,2.51259,6,15,18.8869,7.60554,-901400,1.12733,382.503,0
7,19,3.352e+06,2.77914e+07,-2.44394e+07,2403,30.6284,736,1664,1394.92,37760.1,-14687.1,2.57096,6,15,19.159,7.96514,-759000,1.13716,468.549,0
7,21,3.1494e+06,2.7282e+07,-2.41326e+07,2329,30.5711,712,1615,1352.25,38317.4,-14942.8,2.56428,6,17,19.3497,8.17771,-828200,1.1305,401.402,0
7,22,3.4078e+06,2.70532e+07,-2.36454e+07,2289,30.6684,702,1584,1488.77,38537.3,-14927.7,2.58161,6,15,19.6068,8.24053,-799400,1.14412,450.886,0
